EEID,Full Name,Job Title,Department,Business Unit,Gender,Ethnicity,Age,Hire Date,Annual Salary,Bonus %,Country,City,Exit Date
E01848,Zoey Jackson,Business Partner,Human Resources,Manufacturing,Female,Black,46,2008-08-21,"$59,067 ",0% ,United States,Miami,
E00716,John Chow,Sr. Manger,Marketing,Research & Development,Male,Asian,45,2021-03-11,"$135,062 ",15% ,China,Chengdu,
E00699,Ava Ayala,Sr. Manger,IT,Corporate,Female,Latino,55,2006-08-16,"$159,044 ",10% ,Brazil,Manaus,
E00502,Natalia Salazar,Sr. Analyst,Accounting,Manufacturing,Female,Latino,44,2019-01-02,"$74,691 ",0% ,Brazil,Manaus,2020-07-08
E04000,Skylar Carrillo,Engineering Manager,Engineering,Corporate,Female,Latino,44,2008-12-18,"$92,753 ",13% ,United States,Austin,2021-06-24
E02112,Christian Sanders,Vice President,Human Resources,Speciality Products,Male,Black,45,2013-08-07,"$236,946 ",37% ,United States,Seattle,
E03824,Penelope Coleman,Analyst,Finance,Corporate,Female,Black,36,2021-08-27,"$48,906 ",0% ,United States,Miami,
E03906,Piper Richardson,Sr. Analyst,Sales,Corporate,Female,Caucasian,38,2008-01-27,"$80,024 ",0% ,United States,Columbus,
E00436,Everly Walker,HRIS Analyst,Human Resources,Speciality Products,Female,Caucasian,41,2009-10-23,"$54,415 ",0% ,United States,Seattle,2014-01-22
E04798,Aurora Ali,Manager,Marketing,Research & Development,Female,Asian,30,2016-04-24,"$120,341 ",7% ,United States,Seattle,
E01249,Penelope Guerrero,Vice President,IT,Speciality Products,Female,Latino,43,2009-08-04,"$208,415 ",35% ,United States,Seattle,
E03349,Anna Mehta,Cloud Infrastructure Architect,IT,Speciality Products,Female,Asian,32,2020-01-05,"$78,844 ",0% ,United States,Seattle,
E02966,William Foster,Field Engineer,Engineering,Manufacturing,Male,Caucasian,58,2002-05-23,"$76,354 ",0% ,United States,Phoenix,2021-09-26
E01499,Jade Rojas,Director,Finance,Speciality Products,Female,Latino,37,2019-01-28,"$165,927 ",20% ,United States,Phoenix,
E00105,Isla Espinoza,Manager,Accounting,Speciality Products,Female,Latino,38,2021-11-16,"$109,812 ",9% ,Brazil,Manaus,
E00665,David Chu,Controls Engineer,Engineering,Corporate,Male,Asian,55,1998-09-03,"$86,299 ",0% ,United States,Seattle,
E00791,Thomas Padilla,Vice President,Marketing,Research & Development,Male,Latino,57,2003-07-26,"$206,624 ",40% ,Brazil,Sao Paulo,
E01540,Miles Salazar,IT Coordinator,IT,Manufacturing,Male,Latino,36,2010-12-23,"$53,215 ",0% ,Brazil,Sao Paulo,2014-03-27
E04474,Mila Hong,Test Engineer,Engineering,Research & Development,Female,Asian,30,2017-05-22,"$86,858 ",0% ,China,Chongqing,2017-10-08
E03417,Benjamin Moua,Computer Systems Manager,IT,Manufacturing,Male,Asian,40,2007-07-02,"$93,971 ",8% ,China,Chongqing,
E00254,Samuel Morales,Analyst II,Finance,Corporate,Male,Latino,34,2015-06-27,"$57,008 ",0% ,United States,Phoenix,
E02166,John Soto,Sr. Manger,Finance,Manufacturing,Male,Latino,60,2015-09-23,"$141,899 ",15% ,United States,Phoenix,
E00935,Joseph Martin,Analyst II,Marketing,Corporate,Male,Black,41,2016-09-13,"$64,847 ",0% ,United States,Miami,
E01525,Jose Ross,Engineering Manager,Engineering,Research & Development,Male,Caucasian,53,1992-04-08,"$116,878 ",11% ,United States,Miami,
E00386,Parker James,Quality Engineer,Engineering,Speciality Products,Male,Black,45,2005-02-05,"$70,505 ",0% ,United States,Austin,
E00416,Everleigh Fernandez,Director,Engineering,Research & Development,Female,Latino,30,2016-05-22,"$189,702 ",28% ,Brazil,Manaus,2020-12-21
E03383,Lincoln Hall,Director,Accounting,Speciality Products,Male,Caucasian,26,2020-07-28,"$180,664 ",27% ,United States,Chicago,
E01516,Willow Mai,Business Partner,Human Resources,Manufacturing,Female,Asian,45,2003-12-17,"$48,345 ",0% ,China,Chengdu,
E01234,Jack Cheng,Director,Human Resources,Manufacturing,Male,Asian,42,2014-01-16,"$152,214 ",30% ,China,Beijing,
E03440,Genesis Navarro,Cloud Infrastructure Architect,IT,Corporate,Female,Latino,41,2009-04-28,"$69,803 ",0% ,Brazil,Manaus,
E00431,Eliza Hernandez,Network Architect,IT,Corporate,Female,Latino,48,2019-07-04,"$76,588 ",0% ,Brazil,Rio de Janerio,
E01258,Gabriel Brooks,Network Engineer,IT,Manufacturing,Male,Caucasian,29,2018-12-10,"$84,596 ",0% ,United States,Miami,
E00440,Jack Huynh,Manager,Marketing,Research & Development,Male,Asian,27,2018-09-25,"$114,441 ",10% ,China,Chongqing,2019-12-22
E00595,Everly Chow,Sr. Manger,Finance,Speciality Products,Female,Asian,33,2018-04-21,"$140,402 ",15% ,China,Beijing,
E00972,Amelia Salazar,Analyst II,Finance,Corporate,Female,Latino,26,2019-04-23,"$59,817 ",0% ,Brazil,Sao Paulo,
E04562,Xavier Zheng,Account Representative,Sales,Manufacturing,Male,Asian,31,2017-07-22,"$55,854 ",0% ,United States,Austin,
E02802,Matthew Chau,Sr. Business Partner,Human Resources,Research & Development,Male,Asian,53,2002-11-16,"$95,998 ",0% ,United States,Seattle,
E01427,Mia Cheng,Sr. Manger,Sales,Manufacturing,Female,Asian,34,2015-04-22,"$154,941 ",13% ,United States,Phoenix,
E04568,Rylee Yu,Vice President,Finance,Speciality Products,Female,Asian,54,2011-07-10,"$247,022 ",30% ,China,Beijing,
E04931,Zoe Romero,Network Architect,IT,Manufacturing,Female,Latino,32,2021-10-05,"$88,072 ",0% ,Brazil,Sao Paulo,
E00443,Nolan Bui,Computer Systems Manager,IT,Research & Development,Male,Asian,28,2020-05-26,"$67,925 ",8% ,China,Shanghai,
E03890,Nevaeh Jones,Vice President,Sales,Manufacturing,Female,Caucasian,31,2020-08-20,"$219,693 ",30% ,United States,Austin,
E01194,Samantha Adams,Test Engineer,Engineering,Research & Development,Female,Caucasian,45,2013-04-22,"$61,773 ",0% ,United States,Seattle,
E02875,Madeline Shin,Computer Systems Manager,IT,Speciality Products,Female,Asian,48,2007-01-09,"$74,546 ",9% ,United States,Seattle,
E04959,Noah King,Development Engineer,Engineering,Speciality Products,Male,Black,56,2015-01-27,"$62,575 ",0% ,United States,Miami,
E03816,Leilani Chow,Director,Human Resources,Corporate,Female,Asian,27,2021-02-23,"$199,041 ",16% ,China,Beijing,
E01261,Connor Simmons,Analyst II,Accounting,Speciality Products,Male,Caucasian,55,2007-04-05,"$52,310 ",0% ,United States,Miami,2018-10-12
E03612,Grayson Cooper,Sr. Manger,Finance,Speciality Products,Male,Black,64,2013-06-29,"$159,571 ",10% ,United States,Columbus,
E01388,Ivy Soto,Field Engineer,Engineering,Research & Development,Female,Latino,50,1997-10-23,"$91,763 ",0% ,United States,Austin,
E03875,Aurora Simmons,Development Engineer,Engineering,Corporate,Female,Caucasian,51,1995-12-22,"$96,475 ",0% ,United States,Austin,
E04413,Andrew Thomas,Controls Engineer,Engineering,Manufacturing,Male,Caucasian,36,2016-12-02,"$113,781 ",0% ,United States,Columbus,
E00691,Ezekiel Desai,Director,Finance,Research & Development,Male,Asian,42,2003-01-15,"$166,599 ",26% ,United States,Seattle,
E03047,Gabriella Gupta,Sr. Account Representative,Sales,Corporate,Female,Asian,41,2005-02-15,"$95,372 ",0% ,China,Shanghai,
E04903,Skylar Liu,Director,IT,Research & Development,Female,Asian,29,2020-08-09,"$161,203 ",15% ,China,Chengdu,
E04735,Nova Coleman,System Administrator ,IT,Manufacturing,Female,Caucasian,44,2006-12-13,"$74,738 ",0% ,United States,Miami,
E02850,Evelyn Dinh,Director,Sales,Research & Development,Female,Asian,41,2018-08-10,"$171,173 ",21% ,United States,Columbus,
E03583,Brooks Marquez,Vice President,Sales,Corporate,Male,Latino,61,2019-09-24,"$201,464 ",37% ,United States,Chicago,
E02017,Connor Joseph,Director,Human Resources,Corporate,Male,Caucasian,50,1998-07-22,"$174,895 ",15% ,United States,Chicago,
E01642,Mia Lam,Sr. Manger,IT,Manufacturing,Female,Asian,49,2006-04-18,"$134,486 ",14% ,United States,Austin,
E04379,Scarlett Rodriguez,Sr. Analyst,Finance,Manufacturing,Female,Latino,60,2007-02-24,"$71,699 ",0% ,Brazil,Manaus,
E04131,Cora Rivera,Sr. Analyst,Marketing,Corporate,Female,Latino,42,2021-01-02,"$94,430 ",0% ,United States,Seattle,
E02872,Liam Jung,Manager,Finance,Corporate,Male,Asian,39,2010-01-14,"$103,504 ",7% ,China,Chengdu,
E02331,Sophia Huynh,Enterprise Architect,IT,Manufacturing,Female,Asian,55,2005-08-09,"$92,771 ",0% ,United States,Miami,
E00417,Athena Carrillo,Analyst II,Finance,Speciality Products,Female,Latino,39,2006-04-06,"$71,531 ",0% ,United States,Columbus,
E04267,Greyson Sanders,Cloud Infrastructure Architect,IT,Speciality Products,Male,Black,28,2019-03-06,"$90,304 ",0% ,United States,Chicago,
E03061,Vivian Lewis,Manager,Marketing,Manufacturing,Female,Caucasian,65,2011-09-07,"$104,903 ",10% ,United States,Columbus,
E00013,Elena Vang,Analyst,Finance,Corporate,Female,Asian,52,2019-02-19,"$55,859 ",0% ,China,Beijing,
E04265,Natalia Diaz,Operations Engineer,Engineering,Corporate,Female,Latino,62,2006-10-12,"$79,785 ",0% ,United States,Austin,
E04769,Mila Leung,Sr. Analyst,Marketing,Corporate,Female,Asian,39,2007-11-05,"$99,017 ",0% ,China,Beijing,
E03042,Ava Nelson,Systems Analyst,IT,Manufacturing,Female,Caucasian,63,1992-04-01,"$53,809 ",0% ,United States,Phoenix,
E00527,Mateo Chu,Field Engineer,Engineering,Speciality Products,Male,Asian,27,2020-04-16,"$71,864 ",0% ,China,Chengdu,
E01095,Isla Lai,Vice President,Finance,Corporate,Female,Asian,37,2011-12-06,"$225,558 ",33% ,China,Shanghai,
E03131,Ezekiel Reed,Sr. Manger,IT,Manufacturing,Male,Caucasian,37,2014-02-25,"$128,984 ",12% ,United States,Miami,2021-05-01
E01713,Nolan Guzman,Field Engineer,Engineering,Speciality Products,Male,Latino,46,1999-06-20,"$96,997 ",0% ,Brazil,Sao Paulo,
E00128,Everleigh Espinoza,Director,Human Resources,Manufacturing,Female,Latino,54,2018-01-22,"$176,294 ",28% ,United States,Austin,
E03849,Evelyn Jung,Analyst,Sales,Research & Development,Female,Asian,30,2021-02-14,"$48,340 ",0% ,China,Beijing,
E02464,Sophie Silva,Vice President,Engineering,Corporate,Female,Latino,28,2017-07-06,"$240,488 ",40% ,Brazil,Rio de Janerio,
E00306,Mateo Williams,Enterprise Architect,IT,Manufacturing,Male,Caucasian,40,2011-01-22,"$97,339 ",0% ,United States,Austin,
E03737,Kennedy Rahman,Vice President,Human Resources,Manufacturing,Female,Asian,49,2003-02-28,"$211,291 ",37% ,China,Chongqing,
E02783,Levi Mendez,Vice President,Sales,Research & Development,Male,Latino,39,2011-08-23,"$249,506 ",30% ,Brazil,Rio de Janerio,
E02939,Julian Fong,Quality Engineer,Engineering,Speciality Products,Male,Asian,61,2002-11-22,"$80,950 ",0% ,China,Chongqing,
E02706,Nevaeh Kang,Automation Engineer,Engineering,Research & Development,Female,Asian,46,2021-01-10,"$86,538 ",0% ,China,Chengdu,
E00170,Hannah Nelson,Sr. Analyst,Marketing,Speciality Products,Female,Caucasian,35,2019-09-07,"$70,992 ",0% ,United States,Austin,
E01425,Anthony Rogers,Vice President,Engineering,Corporate,Male,Caucasian,33,2015-06-18,"$205,314 ",30% ,United States,Columbus,
E00130,Paisley Kang,Vice President,Human Resources,Corporate,Female,Asian,61,2017-03-10,"$196,951 ",33% ,China,Beijing,
E02094,Matthew Gupta,Network Engineer,IT,Speciality Products,Male,Asian,45,2005-09-18,"$67,686 ",0% ,China,Beijing,
E03567,Silas Chavez,Technical Architect,IT,Research & Development,Male,Latino,51,2008-04-15,"$86,431 ",0% ,United States,Columbus,
E04682,Colton Thao,Manager,Human Resources,Manufacturing,Male,Asian,55,1995-11-16,"$125,936 ",8% ,China,Chongqing,
E00957,Genesis Perry,Sr. Manger,Sales,Corporate,Female,Caucasian,46,2013-07-18,"$149,712 ",14% ,United States,Columbus,
E04458,Alexander Bryant,Field Engineer,Engineering,Speciality Products,Male,Caucasian,30,2021-10-02,"$88,758 ",0% ,United States,Seattle,
E01499,Elias Zhang,Solutions Architect,IT,Research & Development,Male,Asian,54,2013-07-13,"$83,639 ",0% ,China,Beijing,
E00521,Lily Carter,Network Architect,IT,Research & Development,Female,Caucasian,54,1998-05-18,"$68,268 ",0% ,United States,Phoenix,
E03717,Joseph Ruiz,Field Engineer,Engineering,Manufacturing,Male,Latino,45,2002-02-26,"$75,819 ",0% ,Brazil,Sao Paulo,
E01533,Avery Bailey,Sr. Analyst,Sales,Speciality Products,Female,Caucasian,49,1996-05-15,"$86,658 ",0% ,United States,Phoenix,
E04449,Miles Hsu,Analyst II,Finance,Research & Development,Male,Asian,55,2014-03-16,"$74,552 ",0% ,China,Chengdu,
E02855,Piper Cheng,Enterprise Architect,IT,Manufacturing,Female,Asian,62,2009-03-15,"$82,839 ",0% ,United States,Miami,
E00816,Skylar Watson,Network Architect,IT,Speciality Products,Female,Caucasian,28,2021-10-08,"$64,475 ",0% ,United States,Phoenix,
E02283,Jaxon Park,Network Architect,IT,Manufacturing,Male,Asian,33,2020-07-24,"$69,453 ",0% ,China,Chengdu,
E04888,Elijah Henry,Manager,IT,Corporate,Male,Caucasian,32,2014-01-03,"$127,148 ",10% ,United States,Miami,
E03907,Camila Watson,Vice President,Finance,Speciality Products,Female,Caucasian,32,2018-01-02,"$190,253 ",33% ,United States,Austin,
E02166,Lucas Thomas,Manager,Accounting,Research & Development,Male,Caucasian,55,2000-04-28,"$115,798 ",5% ,United States,Miami,
E00431,Skylar Doan,Sr. Business Partner,Human Resources,Research & Development,Female,Asian,58,1994-08-21,"$93,102 ",0% ,United States,Seattle,2013-12-13
E01501,Hudson Liu,Engineering Manager,Engineering,Speciality Products,Male,Asian,34,2017-11-16,"$110,054 ",15% ,United States,Miami,
E01141,Gianna Williams,Quality Engineer,Engineering,Research & Development,Female,Black,27,2021-01-28,"$95,786 ",0% ,United States,Chicago,
E02254,Jaxson Sandoval,Sr. Analyst,Sales,Speciality Products,Male,Latino,61,2017-05-03,"$90,855 ",0% ,Brazil,Sao Paulo,
E04504,Jameson Alvarado,Enterprise Architect,IT,Manufacturing,Male,Latino,47,1999-03-14,"$92,897 ",0% ,Brazil,Sao Paulo,
E03394,Joseph Ly,Vice President,Marketing,Speciality Products,Male,Asian,40,2009-02-28,"$242,919 ",31% ,China,Chongqing,
E02942,Daniel Richardson,Director,Engineering,Speciality Products,Male,Caucasian,30,2018-05-20,"$184,368 ",29% ,United States,Austin,
E04130,Elias Figueroa,Sr. Manger,Finance,Corporate,Male,Latino,45,2021-12-24,"$144,754 ",15% ,United States,Phoenix,
E02848,Emma Brooks,Sr. Account Representative,Sales,Research & Development,Female,Caucasian,30,2016-12-18,"$89,458 ",0% ,United States,Austin,
E00085,Isla Wong,Vice President,Accounting,Corporate,Female,Asian,56,2014-03-16,"$190,815 ",40% ,United States,Austin,
E03956,Everly Walker,Sr. Manger,Sales,Research & Development,Female,Caucasian,62,1999-08-02,"$137,995 ",14% ,United States,Austin,
E00672,Mila Pena,Sr. Business Partner,Human Resources,Manufacturing,Female,Latino,45,2007-12-21,"$93,840 ",0% ,Brazil,Manaus,
E04618,Mason Zhao,Technical Architect,IT,Research & Development,Male,Asian,46,2021-10-26,"$94,790 ",0% ,China,Chongqing,
E03506,Jaxson Mai,Vice President,Human Resources,Research & Development,Male,Asian,48,2014-03-08,"$197,367 ",39% ,United States,Austin,
E00568,Ava Garza,Director,Accounting,Manufacturing,Female,Latino,27,2018-06-25,"$174,097 ",21% ,United States,Phoenix,
E00535,Nathan Mendez,Manager,IT,Speciality Products,Male,Latino,53,2006-10-31,"$120,128 ",10% ,United States,Austin,
E04630,Maria Griffin,Manager,Marketing,Manufacturing,Female,Caucasian,59,2007-04-25,"$129,708 ",5% ,United States,Miami,
E00874,Alexander Choi,Manager,Marketing,Research & Development,Male,Asian,55,1994-09-18,"$102,270 ",10% ,United States,Chicago,
E01546,Maria Hong,Vice President,Finance,Speciality Products,Female,Asian,43,2005-07-31,"$249,686 ",31% ,China,Chongqing,
E00941,Sophie Ali,Analyst,Finance,Manufacturing,Female,Asian,55,2002-03-28,"$50,475 ",0% ,United States,Columbus,
E03446,Julian Ross,Manager,Marketing,Research & Development,Male,Caucasian,51,2020-07-02,"$100,099 ",8% ,United States,Miami,
E01361,Emma Hill,IT Coordinator,IT,Manufacturing,Female,Caucasian,54,2016-12-27,"$41,673 ",0% ,United States,Miami,
E01631,Leilani Yee,Sr. Analyst,Marketing,Speciality Products,Female,Asian,47,2017-07-12,"$70,996 ",0% ,China,Chengdu,
E03719,Jack Brown,Analyst,Marketing,Corporate,Male,Caucasian,55,2004-12-07,"$40,752 ",0% ,United States,Phoenix,
E03269,Charlotte Chu,Network Engineer,IT,Manufacturing,Female,Asian,50,2001-01-23,"$97,537 ",0% ,China,Chengdu,
E01037,Jeremiah Chu,IT Systems Architect,IT,Research & Development,Male,Asian,31,2020-09-12,"$96,567 ",0% ,China,Shanghai,
E00671,Miles Cho,Systems Analyst,IT,Speciality Products,Male,Asian,47,1999-03-10,"$49,404 ",0% ,China,Beijing,
E02216,Caleb Marquez,IT Systems Architect,IT,Research & Development,Male,Latino,29,2019-10-15,"$66,819 ",0% ,Brazil,Rio de Janerio,
E02803,Eli Soto,Analyst,Marketing,Speciality Products,Male,Latino,38,2016-05-02,"$50,784 ",0% ,Brazil,Rio de Janerio,
E01584,Carter Mejia,Sr. Manger,Human Resources,Research & Development,Male,Latino,29,2019-05-09,"$125,828 ",15% ,Brazil,Sao Paulo,
E02489,Ethan Clark,Sr. Business Partner,Human Resources,Manufacturing,Male,Caucasian,33,2017-08-04,"$92,610 ",0% ,United States,Columbus,
E03189,Asher Jackson,Sr. Manger,Sales,Speciality Products,Male,Caucasian,50,2003-03-25,"$123,405 ",13% ,United States,Columbus,
E03560,Ayla Ng,Account Representative,Sales,Manufacturing,Female,Asian,46,2004-03-20,"$73,004 ",0% ,China,Beijing,
E00769,Jose Kang,Engineering Manager,Engineering,Corporate,Male,Asian,57,1999-04-25,"$95,061 ",10% ,China,Shanghai,
E02791,Aubrey Romero,Director,Sales,Corporate,Female,Latino,49,1998-04-02,"$160,832 ",30% ,United States,Phoenix,
E02333,Jaxson Wright,Service Desk Analyst,IT,Manufacturing,Male,Black,54,2010-12-28,"$64,417 ",0% ,United States,Columbus,
E01002,Elias Ali,Manager,Sales,Corporate,Male,Asian,28,2021-03-19,"$127,543 ",6% ,China,Shanghai,
E03520,Nolan Pena,Analyst,Marketing,Manufacturing,Male,Latino,30,2018-06-21,"$56,154 ",0% ,Brazil,Sao Paulo,
E00752,Luna Liu,Vice President,Sales,Manufacturing,Female,Asian,36,2014-02-22,"$218,530 ",30% ,China,Shanghai,
E00233,Brooklyn Reyes,Service Desk Analyst,IT,Manufacturing,Female,Latino,36,2019-12-19,"$91,954 ",0% ,United States,Columbus,
E02639,Hadley Parker,Vice President,Marketing,Corporate,Female,Black,30,2016-09-21,"$221,217 ",32% ,United States,Columbus,2017-09-25
E00697,Jonathan Chavez,System Administrator ,IT,Manufacturing,Male,Latino,29,2017-05-11,"$87,536 ",0% ,United States,Seattle,
E02183,Sarah Ayala,Analyst,Sales,Corporate,Female,Latino,47,2015-06-09,"$41,429 ",0% ,United States,Seattle,
E00715,Elijah Kang,Vice President,Engineering,Manufacturing,Male,Asian,35,2011-10-10,"$245,482 ",39% ,United States,Seattle,
E04288,Ella White,Development Engineer,Engineering,Manufacturing,Female,Caucasian,25,2020-01-20,"$71,359 ",0% ,United States,Phoenix,
